,aid,noc
1432,1071,SWE
1433,1072,SWE
1434,1073,SWE
1435,1074,SWE
1436,1075,SWE
1437,1076,SWE
1438,1077,SWE
1439,1078,SWE
1440,1079,SWE
1441,1080,SWE
1442,1081,SWE
1443,1082,SWE
1444,1083,SWE
1445,1084,SWE
1446,1085,SWE
1447,1086,SWE
1448,1087,SWE
1449,1088,SWE
1450,1089,SWE
1451,1090,SWE
1452,1091,SWE
1453,1092,SWE
1454,1093,SWE
1455,1094,SWE
1456,1095,SWE
1457,1096,SWE
1458,1097,SWE
1459,1098,SWE
1460,1099,SWE
1461,1100,SWE
1462,1101,SWE
1463,1102,SWE
1464,1103,SWE
1465,1104,SWE
1466,1105,SWE
1467,1106,SWE
1468,1107,SWE
1469,1108,SWE
1470,1109,SWE
1471,1110,SWE
1472,1111,SWE
1473,1112,SWE
1474,1113,SWE
1475,1114,SWE
1476,1115,SWE
1477,1116,SWE
1478,1117,SWE
1479,1118,SWE
1480,1119,NOR
1481,198,NOR
1482,1120,NOR
1483,1121,NOR
1484,1122,NOR
1485,1123,NOR
1486,1124,NOR
1487,1125,NOR
1488,1126,NOR
1489,1127,NOR
1490,1128,NOR
1491,1129,NOR
1492,1024,NOR
1493,1130,NOR
1494,1131,NOR
1495,1132,NOR
1496,1133,NOR
1497,1134,NOR
1498,1135,NOR
1499,1136,NOR
1500,1137,NOR
1501,1138,NOR
1502,1139,NOR
1503,1140,NOR
1504,1141,NOR
1505,1142,NOR
1506,1143,NOR
1507,1144,NOR
1508,1145,NOR
1509,1146,NOR
1510,1147,NOR
1511,1148,NOR
1512,1149,GBR
1513,1150,GBR
1514,1151,GBR
1515,1152,GBR
1516,1153,GBR
1517,1154,GBR
1518,1155,GBR
1519,1156,GBR
1520,1157,GBR
1521,1158,GBR
1522,1159,GBR
1523,1160,GBR
1524,1161,GBR
1525,1162,GBR
1526,1163,GBR
1527,1164,GBR
1528,1165,GBR
1529,1166,GBR
1530,1167,GBR
1531,1168,GBR
1532,1169,GBR
1533,1170,GBR
1534,1171,GBR
1535,1172,USA
1536,1173,GBR
1537,1174,CAN
1538,1175,CAN
1539,1176,CAN
1540,1177,CAN
1541,1178,CAN
1542,1179,CAN
1543,1180,CAN
1544,1181,CAN
1545,1182,CAN
1546,1183,CAN
1547,1184,CAN
1548,1185,CAN
1549,1186,CAN
1550,1187,CAN
1551,1188,CAN
1552,1189,GBR
1553,1190,GBR
1554,1191,GBR
1555,1192,GBR
1556,1193,GBR
1557,1194,GBR
1558,1195,GBR
1559,1196,GBR
1560,1197,GBR
1561,1198,GBR
1562,1199,GBR
1563,1200,GBR
1564,1201,GBR
1565,1202,GBR
1566,1203,GBR
1567,1204,GBR
1568,1205,GBR
1569,1206,GBR
1570,1207,GBR
1571,1208,GBR
1572,1209,GBR
1573,1210,GBR
1574,316,GBR
1575,318,GBR
1576,1211,GBR
1577,1212,GBR
1578,1213,GBR
1579,1214,GBR
1580,1215,GBR
1581,1216,GBR
1582,1217,GBR
1583,1218,GBR
1584,1219,GBR
1585,1220,GBR
1586,1221,GBR
1587,1222,GBR
1588,1219,GBR
1589,1223,GBR
1590,1218,GBR
1591,1217,GBR
1592,1224,GER
1593,1225,CAN
1594,1226,GER
1595,1227,CAN
1596,1228,GBR
1597,1229,GBR
1598,1230,GBR
1599,1231,GBR
1600,1232,CAN
1601,1233,GBR
1602,1234,GBR
1603,1235,GBR
1604,1236,CAN
1605,1237,GBR
1606,1238,GBR
1607,1239,CAN
1608,1240,GBR
1609,1241,CAN
1610,1242,GBR
1611,1243,CAN
1612,1244,CAN
1613,1245,GBR
1614,1246,CAN
1615,1247,CAN
1616,1248,GBR
1617,760,CAN
1618,1249,GBR
1619,1250,GBR
1620,1251,GBR
1621,1252,GBR
1622,1253,GBR
1623,1254,GBR
1624,1255,GBR
1625,1256,GBR
1626,1257,GBR
1627,341,BEL
1628,1258,BEL
1629,1259,BEL
1630,1260,BEL
1631,1261,BEL
1632,1262,BEL
1633,345,BEL
1634,1263,BEL
1635,1264,BEL
1636,1265,GBR
1637,1266,GBR
1638,1267,GBR
1639,1268,GBR
1640,1269,GBR
1641,1228,GBR
1642,1270,GBR
1643,1229,GBR
1644,1271,HUN
1645,1272,GER
1646,1273,GBR
1647,1274,GBR
1648,1275,ANZ
1649,1276,ANZ
1650,1277,ANZ
1651,1278,ANZ
1652,1279,ANZ
1653,1280,ANZ
1654,1281,ANZ
1655,1282,ANZ
1656,1283,ANZ
1657,1284,ANZ
1658,1285,ANZ
1659,1286,ANZ
1660,1287,ANZ
1661,1288,ANZ
1662,1289,ANZ
1663,1290,GBR
1664,1291,GBR
1665,1292,GBR
1666,1293,GBR
1667,1294,GBR
1668,1295,GBR
1669,1296,GBR
1670,1297,GBR
1671,1298,GBR
1672,1299,GBR
1673,1300,GBR
1674,1301,GBR
1675,1302,GBR
1676,1303,GBR
1677,1304,GBR
1678,1305,GBR
1679,1306,GBR
1680,1307,GBR
1681,1308,GBR
1682,1309,GBR
1683,1310,GBR
1684,1311,GBR
1685,1312,GBR
1686,1313,GBR
1687,1314,GBR
1688,1315,GBR
1689,1316,GBR
1690,1317,GBR
1691,1318,GBR
