"AID","NAME","DOB","GENDER"
626,"TOWNSEND, Charles Fitzhugh",,"Men"
627,"GREBE, William",,"Men"
628,"O'CONNOR, William Scott",,"Men"
629,"BRADY, Joseph J.",,"Men"
630,"COOKE, George Edwin",,"Men"
631,"COOKE, Thomas J.",,"Men"
632,"COSTGROVE, Cormic F.",,"Men"
633,"DIERKES",,"Men"
634,"DOOLING, Martin T.",,"Men"
635,"FROST, Frank",,"Men"
636,"JAMESON, Claude Stanley",,"Men"
637,"JAMESON, Henry Wood",,"Men"
638,"JOHNSON, -",,"Men"
639,"O'CONNELL",,"Men"
640,"TATE, Harry",,"Men"
641,"BARTLIFF, Charles Albert",,"Men"
642,"BRITTINGHAM, Warren G.",,"Men"
643,"BROCKMEYER, Oscar B.",,"Men"
644,"CUDMORE, Alexander",,"Men"
645,"DUCKER, George",,"Men"
646,"FRASER, John Alexander",,"Men"
647,"GOURLEY, John",,"Men"
648,"HALL, Alexander",,"Men"
649,"JANUARY, Charles James",,"Men"
650,"JANUARY, John Hartnett",,"Men"
651,"JANUARY, Thomas Thurston",,"Men"
652,"JOHNSON, Albert",,"Men"
653,"LANE, Robert",,"Men"
654,"LAWLER, Raymond E.",,"Men"
655,"LINTON, Ernest",,"Men"
656,"MACDONALD, Gordon",,"Men"
657,"MENGES, Louis John",,"Men"
658,"RATICAN, Peter Joseph",,"Men"
659,"STEEP, Frederick",,"Men"
660,"TAYLOR, Thomas",,"Men"
661,"TWAITS, William",,"Men"
662,"MCKINNIE, Burt P.",,"Men"
663,"NEWTON, Francis Clement",,"Men"
664,"LYON, George Seymour",,"Men"
665,"EGAN, Henri Chandler",,"Men"
666,"CUMMINS, Edward M.",,"Men"
667,"EDWARDS, Kenneth Paine",,"Men"
668,"EGAN, Walter Eugene",,"Men"
669,"HUNTER, Robert Edward",,"Men"
670,"MOORE, Nathaniel Fish",,"Men"
671,"PHELPS, Mason Elliot",,"Men"
672,"SAWYER, Danieledward",,"Men"
673,"SMOOT, Clement E.",,"Men"
674,"WOOD, Warren K.",,"Men"
675,"CADY, John Deere",,"Men"
676,"LAMBERT, Albert Bond",,"Men"
677,"MAXWELL, John R.",,"Men"
678,"MCKITTRICK, Ralph",,"Men"
679,"POTTER, Henry",,"Men"
680,"SEMPLE, Frederick",,"Men"
681,"STICKNEY, Arthur William",,"Men"
682,"STICKNEY, Stuart Grosvenor",,"Men"
683,"WILSON, Ralph",,"Men"
684,"HENNIG, Edward",,"Men"
685,"VOIGT, Emil",,"Men"
686,"WEBER, Wilhelm",,"Men"
687,"SPINNLER, Adolf",,"Men"
688,"LENHART, Julius",,"Men"
689,"HEIDA, Anton",,"Men"
690,"EYSER, George",,"Men"
691,"DUHA, John",,"Men"
692,"GLASS, Hermann",,"Men"
693,"KRAUSE, Charles",,"Men"
694,"MAYACK, Robert",,"Men"
695,"MEYER, George",,"Men"
696,"SCHUSTER, Philipp",,"Men"
697,"SIEGLER, Edward",,"Men"
698,"HESS, Max",,"Men"
699,"KASSEL, Philipp",,"Men"
700,"RECKEWEG, Ernst",,"Men"
701,"BEYER, Emil",,"Men"
702,"BISSINGER, John",,"Men"
703,"ROSENKAMPF, Arthur",,"Men"
704,"SCHMITZ, Julian",,"Men"
705,"STEFFEN, Otto",,"Men"
706,"WOLF, Max",,"Men"
707,"BLANCHARD, Elie",,"Men"
708,"BRENNAUGH, W.",,"Men"
709,"BRETZ, George",,"Men"
710,"BURNS, William Laurie",,"Men"
711,"CATTANACH, George",,"Men"
712,"CLOUTIER, George",,"Men"
713,"COWAN, Sandy",,"Men"
714,"FLETT, Jack",,"Men"
715,"JAMIESON, Benjamin",,"Men"
716,"LAIDLAW, Hilliard",,"Men"
717,"LYLE, H.",,"Men"
718,"ORRIS, William F.L.",,"Men"
719,"PENTLAND, L.H.",,"Men"
720,"CROGAN, Patrick",,"Men"
721,"DOWLING, J.W.",,"Men"
722,"GIBSON",,"Men"
723,"HESS",,"Men"
724,"LEHMAN",,"Men"
725,"MURPHY",,"Men"
726,"PARTRIDGE",,"Men"
727,"PASSMORE, George",,"Men"
728,"SULLIVAN",,"Men"
729,"VENN, A.H.",,"Men"
730,"WOODS",,"Men"
731,"YOUNG",,"Men"
732,"BROWN, Charles",,"Men"
733,"JACOBUS, Charles",,"Men"
734,"STREETER, Smith O.",,"Men"
735,"BUERGER, Joseph",,"Men"
736,"JOACHIM, John",,"Men"
737,"FARNAM, Robert",,"Men"
738,"RYAN, Joseph",,"Men"
739,"MULCAHY, John J.F.",,"Men"
740,"VARLEY, William",,"Men"
741,"RAVANACK, Joseph",,"Men"
742,"WELLS, John",,"Men"
743,"HOBEN, John Grey",,"Men"
744,"MCLOUGHLIN, James",,"Men"
745,"ARMSTRONG, Charles E.",,"Men"
746,"CRESSER, Frederick",,"Men"
747,"DEMPSEY, Joseph F.",,"Men"
748,"FLANIGAN, James",,"Men"
749,"GLEASON, Michael D.",,"Men"
750,"LOTT, Harry Hunter",,"Men"
751,"SCHELL, Frank Reaner",,"Men"
752,"BAILEY, Arthur B.",,"Men"
753,"BOYD, Philip Ewing",,"Men"
754,"LOUDON, Thomas Richardson",,"Men"
755,"MACKENZIE, Donald",,"Men"
756,"REIFFENSTEIN, George Patrick",,"Men"
757,"RICE, William",,"Men"
758,"STRANGE, George  M.",,"Men"
759,"WADSWORTH, William",,"Men"
760,"WRIGHT, Joseph George",,"Men"
761,"DUNIMERTH, Frank",,"Men"
762,"FREITAG, John",,"Men"
763,"HELM, Louis G.",,"Men"
764,"VOERG, Gustav",,"Men"
765,"DIETZ, George",,"Men"
766,"ERKER, August",,"Men"
767,"NASSE, Albert",,"Men"
768,"STOCKHOFF, Arthur",,"Men"
769,"AMAN, Charles",,"Men"
770,"BEGLEY, Michael",,"Men"
771,"FROMANACK, Martin",,"Men"
772,"SUERIG, Frederick",,"Men"
773,"TITUS, Constance",,"Men"
774,"GREER, Frank",,"Men"
775,"GAMBLE, Clarence Olivier",,"Men"
776,"WEAR, Arthur Yancey",,"Men"
777,"WEAR, Joseph Walker",,"Men"
778,"WEST, Allen Tarwater",,"Men"
779,"LEONARD, Edgar Welch",,"Men"
780,"WRIGHT, Beals Coleman",,"Men"
781,"BELL, Alphonzo Edward",,"Men"
782,"LEROY, Robert",,"Men"
783,"FRIDE, H.",,"Men"
784,"HABERCORN, Charles",,"Men"
785,"JACOBS, H.",,"Men"
786,"KUNGLER, Frank",,"Men"
787,"THEAS, Charles",,"Men"
788,"FLANAGAN, Patrick",,"Men"
789,"JOHNSON, Sydney B.",,"Men"
790,"MAGNUSSEN, Conrad",,"Men"
791,"OLSON, Oscar G.",,"Men"
792,"SICLING, H.",,"Men"
793,"BRAUN, Max",,"Men"
794,"RODENBERGER, August",,"Men"
795,"ROSE, Charles",,"Men"
796,"SEILING, William",,"Men"
797,"UPSHAW, Orrin Thomas",,"Men"
798,"OSTHOFF, Oscar Paul",,"Men"
799,"WINTERS, Frederick",,"Men"
800,"KAKOUSIS, Perikles",,"Men"
801,"THIEFENTHALER, Gustav",,"Men"
802,"CURRY, Robert",,"Men"
803,"HEIN, John",,"Men"
804,"WARMBOLD, Frederick Charles",,"Men"
805,"HANSEN, Bernhuff",,"Men"
806,"NELSON, William",,"Men"
807,"MEHNERT, George Nicholas",,"Men"
808,"BAUER, Gustav",,"Men"
809,"STREBLER, Zenon B.",,"Men"
810,"NIFLOT, Isidor",,"Men"
811,"WESTER, August",,"Men"
812,"CLAPPER, Charles E.",,"Men"
813,"BRADSHAW, Benjamin Joseph",,"Men"
814,"MCLEAR, Theodore",,"Men"
815,"ZIRKEL, Albert",,"Men"
816,"ROEHM, Otto F.",,"Men"
817,"TESING, Rudolph",,"Men"
818,"WINHOLTZ, Jerry",,"Men"
819,"ERICKSEN, Charles",,"Men"
820,"BECKMANN, William",,"Men"
821,"SPANGBERG, Arvid",,"Men"
822,"JOHANSSON, Hjalmar",,"Men"
823,"MALMSTRÖM, Karl",,"Men"
824,"GAIDZIK, George William",,"Men"
825,"WALZ, Gottlob",,"Men"
826,"ZÜRNER, Albert",,"Men"
827,"BEHRENS, Kurt",,"Men"
828,"HARESNAPE, Herbert Nickall",,"Men"
829,"BIEBERSTEIN, Arno",,"Men"
830,"DAM, Hans Peter Ludwig",,"Men"
831,"JULIN, Harald S.A.",,"Men"
832,"BEAUREPAIRE, Frank E.",,"Men"
833,"TAYLOR, Henry",,"Men"
834,"BATTERSBY, Thomas Sidney",,"Men"
835,"HANSSON, Pontus",,"Men"
836,"HOLMAN, Frederick",,"Men"
837,"ROBINSON, William Walter",,"Men"
838,"SCHEFF, Otto",,"Men"
