year,dname,eid,ename,Event_gender,record
1980,Boxing,8309,67 - 71kg (light-middleweight),M,
1980,Boxing,8309,67 - 71kg (light-middleweight),M,
1980,Boxing,8313,71-75kg,M,
1980,Boxing,8313,71-75kg,M,
1980,Boxing,8313,71-75kg,M,
1980,Boxing,8313,71-75kg,M,
1980,Boxing,8317,75 - 81kg (light-heavyweight),M,
1980,Boxing,8317,75 - 81kg (light-heavyweight),M,
1980,Boxing,8317,75 - 81kg (light-heavyweight),M,
1980,Boxing,8317,75 - 81kg (light-heavyweight),M,
1980,Canoe / Kayak F,6596,C-1 1000m (canoe single),M,
1980,Canoe / Kayak F,6596,C-1 1000m (canoe single),M,
1980,Canoe / Kayak F,6596,C-1 1000m (canoe single),M,
1980,Canoe / Kayak F,14332,C-1 500m (canoe single),M,
1980,Canoe / Kayak F,14332,C-1 500m (canoe single),M,
1980,Canoe / Kayak F,14332,C-1 500m (canoe single),M,
1980,Canoe / Kayak F,6605,C-2 1000m (canoe double),M,
1980,Canoe / Kayak F,6605,C-2 1000m (canoe double),M,
1980,Canoe / Kayak F,6605,C-2 1000m (canoe double),M,
1980,Canoe / Kayak F,6605,C-2 1000m (canoe double),M,
1980,Canoe / Kayak F,6605,C-2 1000m (canoe double),M,
1980,Canoe / Kayak F,6605,C-2 1000m (canoe double),M,
1980,Canoe / Kayak F,14341,C-2 500m (canoe double),M,
1980,Canoe / Kayak F,14341,C-2 500m (canoe double),M,
1980,Canoe / Kayak F,14341,C-2 500m (canoe double),M,
1980,Canoe / Kayak F,14341,C-2 500m (canoe double),M,
