year,dname
1972,Cycling Track
1972,Dressage
1972,Eventing
1972,Jumping
1972,Fencing
1972,Football
1972,Artistic G.
1972,Handball
1972,Hockey
1972,Judo
1972,Modern Pentath.
1972,Rowing
1972,Sailing
1972,Shooting
1972,Volleyball
1972,Weightlifting
1972,Wrestling Free.
1972,Wrestling Gre-R
1976,Diving
1976,Swimming
1976,Water polo
1976,Archery
1976,Athletics
1976,Basketball
1976,Boxing
1976,Canoe / Kayak F
1976,Cycling Road
1976,Cycling Track
1976,Dressage
1976,Eventing
1976,Jumping
1976,Fencing
1976,Football
1976,Artistic G.
1976,Handball
1976,Hockey
1976,Judo
1976,Modern Pentath.
1976,Rowing
1976,Sailing
1976,Shooting
1976,Volleyball
1976,Weightlifting
1976,Wrestling Free.
1976,Wrestling Gre-R
1980,Diving
1980,Swimming
1980,Water polo
1980,Archery
1980,Athletics
1980,Basketball
1980,Boxing
1980,Canoe / Kayak F
1980,Cycling Road
1980,Cycling Track
1980,Dressage
1980,Eventing
1980,Jumping
1980,Fencing
1980,Football
1980,Artistic G.
1980,Handball
1980,Hockey
1980,Judo
1980,Modern Pentath.
1980,Rowing
1980,Sailing
1980,Shooting
1980,Volleyball
1980,Weightlifting
1980,Wrestling Free.
1980,Wrestling Gre-R
1984,Diving
1984,Swimming
1984,Synchronized S.
1984,Water polo
1984,Archery
1984,Athletics
1984,Basketball
1984,Boxing
1984,Canoe / Kayak F
1984,Cycling Road
1984,Cycling Track
1984,Dressage
1984,Eventing
1984,Jumping
1984,Fencing
1984,Football
1984,Artistic G.
1984,Rhythmic G.
1984,Handball
1984,Hockey
1984,Judo
1984,Modern Pentath.
1984,Rowing
1984,Sailing
1984,Shooting
1984,Volleyball
1984,Weightlifting
1984,Wrestling Free.
1984,Wrestling Gre-R
1988,Diving
1988,Swimming
1988,Synchronized S.
1988,Water polo
1988,Archery
1988,Athletics
1988,Basketball
1988,Boxing
1988,Canoe / Kayak F
1988,Cycling Road
1988,Cycling Track
1988,Dressage
1988,Eventing
1988,Jumping
1988,Fencing
1988,Football
1988,Artistic G.
1988,Rhythmic G.
1988,Handball
1988,Hockey
1988,Judo
1988,Modern Pentath.
1988,Rowing
1988,Sailing
1988,Shooting
1988,Table Tennis
1988,Tennis
1988,Volleyball
1988,Weightlifting
1988,Wrestling Free.
1988,Wrestling Gre-R
1992,Diving
1992,Swimming
1992,Synchronized S.
1992,Water polo
1992,Archery
1992,Athletics
1992,Badminton
1992,Baseball
1992,Basketball
1992,Boxing
1992,Canoe / Kayak F
1992,Canoe / Kayak S
1992,Cycling Road
1992,Cycling Track
1992,Dressage
1992,Eventing
1992,Jumping
1992,Fencing
1992,Football
1992,Artistic G.
1992,Rhythmic G.
1992,Handball
1992,Hockey
1992,Judo
1992,Modern Pentath.
1992,Rowing
1992,Sailing
1992,Shooting
1992,Table Tennis
1992,Tennis
1992,Volleyball
