code,year,Rank,Num_OF_Gold,Num_OF_Silver,Num_OF_Bronze
USA,1972,2,53,59,43
USA,1976,3,63,56,36
USA,1984,2,168,115,50
USA,1988,2,77,64,52
USA,1992,1,89,50,85
USA,1996,18,160,48,52
USA,2000,51,130,66,52
USA,2004,46,116,75,73
USA,2008,55,125,109,81
UZB,1996,53,0,1,1
UZB,2000,77,1,1,2
UZB,2004,73,2,1,2
UZB,2008,21,1,2,3
VEN,1952,5,0,0,1
VEN,1960,3,0,0,1
VEN,1968,3,1,0,0
VEN,1976,27,0,1,0
VEN,1980,32,0,1,0
VEN,1984,11,0,0,3
VEN,2004,17,0,0,2
VEN,2008,82,0,0,1
VIE,2000,16,0,1,0
VIE,2008,72,0,1,0
YUG,1924,2,2,0,0
YUG,1928,2,1,1,10
YUG,1936,21,0,1,0
YUG,1948,2,0,16,0
YUG,1952,3,4,20,0
YUG,1956,4,0,23,0
YUG,1960,4,16,1,0
YUG,1964,4,2,11,2
YUG,1968,4,13,14,2
YUG,1972,3,15,1,2
YUG,1976,4,2,14,3
YUG,1980,24,13,27,17
YUG,1984,31,47,5,35
YUG,1988,3,15,27,21
YUG,1996,76,1,12,13
YUG,2000,4,12,1,13
ZAM,1984,4,0,0,1
ZAM,1996,4,0,1,0
ZIM,1980,4,16,0,0
ZIM,2004,4,1,1,1
ZIM,2008,5,1,3,0
ZZX,1896,5,2,2,2
ZZX,1900,12,18,8,8
ZZX,1904,2,3,5,0
