Country Name,Country Code,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
Israel,ISR,2114020,2475000,2803000,3148000,3533000,3878000,4159000,4442000,5123000,5692000,6289000,6809000,7308800,7910500
Italy,ITA,50199700,51675350,53235750,54381345,55718260,56433883,56576718,56629288,56797087,56860281,56942108,57685327,58826731,59539717
Jamaica,JAM,1629003,1734763,1823706,1925162,2037716,2133000,2279900,2356400,2423044,2509923,2589389,2634145,2671934,2707805
Japan,JPN,92500572,97826000,101061000,107188000,112771000,116782000,120018000,122613000,124229000,125757000,126843000,127761000,128063000,127561489
Kazakhstan,KAZ,9714260,11267329,12341412,13176584,13920105,14518924,15214051,15982510,16439095,15577894,14883626,15012985,15674000,16791425
Kenya,KEN,8105440,9200158,10502250,12083165,13995974,16267906,18942599,21899004,25029754,28116027,31065820,34437460,38244442,42542978
Kuwait,KWT,261962,431366,639170,866747,1115463,1384342,1657920,2002645,,1637906,1929470,2166344,2705290,3419581
Lebanon,LBN,1804927,2041212,2210965,2416743,2598362,2605294,2667229,2668593,2821868,3070974,3235380,3863271,4109389,4924257
Sri Lanka,LKA,9896000,10903000,11992000,12861000,13717000,14747000,15583000,16593000,17524000,18210000,18655000,19227000,19817000,20424000
Lithuania,LTU,2778550,2935200,3078850,3213622,3328664,3413202,3514205,3655049,3700114,3601613,3499536,3377075,3198231,2987773
Luxembourg,LUX,313970,327750,335850,346600,360731,364150,365998,373450,392175,414225,436300,458095,488650,530946
Latvia,LVA,2120979,2240623,2323619,2395674,2470989,2511701,2562047,2653434,2614338,2457222,2367550,2263122,2177322,2034319
Morocco,MAR,12328534,13871988,15335173,16740525,18262366,20071902,22094516,24027330,25866445,27556892,28950553,30093109,31350544,32984190
Moldova,MDA,2544000,2774000,2960000,3131000,3284000,3396000,3536000,3660000,3706000,3667748,3639592,3603945,3570108,3559519
Mexico,MEX,38174114,43264267,48893607,55480125,62620087,69330974,75721210,82223153,89110043,96181710,102808590,108257822,114972821,122070963
Mongolia,MNG,955514,1074517,1207108,1356669,1520865,1689622,1871087,2089716,2243506,2316571,2397438,2496621,2629666,2808339
Mozambique,MOZ,7493278,8129268,8860823,9679753,10693688,11936379,12968335,13124285,14203987,16410777,18264536,20523159,22994867,25732928
Mauritius,MUS,659351,736381,798413,852053,906507,966039,1012221,1043239,1084441,1133996,1186873,1221003,1244121,1255882
Malaysia,MYS,8160975,9287442,10375877,11460080,12599655,13833739,15333369,17202032,19204700,21260881,23420751,25332026,27197419,29021940
Namibia,NAM,602545,665297,737802,829806,928228,1012761,1112044,1303879,1513689,1705349,1897953,2002745,2115703,2291645
Niger,NER,3395212,3811813,4258415,4753054,5320869,5963159,6652110,7445788,8442330,9701730,11224523,12996012,15085130,17635782
Nigeria,NGA,45211614,49169819,53640547,58829319,65426976,73698096,81775215,90773613,100592458,111164651,122876723,136033321,151115683,168240403
Netherlands,NLD,11486631,12127120,12729721,13328593,13774037,14149800,14424211,14760094,15184166,15530498,15925513,16281779,16445593,16754962
Norway,NOR,3581239,3694339,3816486,3933004,4026152,4085620,4140099,4209488,4286401,4381336,4490967,4591910,4768212,5018573
New Zealand,NZL,2371800,2585400,2748100,2903900,3110500,3112900,3227100,3283400,3531700,3732000,3857700,4087500,4259800,4408100
Pakistan,PAK,44911810,49555472,55045897,61341255,68818471,78071984,89183159,101420791,113616165,125697651,138250487,150267989,163096985,177392252
Panama,PAN,1132924,1276274,1434660,1607835,1791459,1978575,2170390,2368772,2575330,2794845,3028751,3260611,3498679,3743761
